cluster,recency,frequency,monetary,unique_products,avg_order_value
0,9.3,2.15,4427.3279999999995,5.0,1030.7463579184703
1,6.201388888888889,2.7534722222222223,370.80850694444445,5.006944444444445,70.74840521660053
2,33.12637362637363,1.1813186813186813,130.63307692307694,2.0384615384615383,50.75235609628467
3,7.54020979020979,1.4230769230769231,115.58606643356643,2.0034965034965033,52.20242132867133
4,81.19047619047619,1.0,124.40404761904763,1.7619047619047619,52.88547619047619
5,7.0,4.0,32094.17,9.0,3566.018888888889
6,5.0673076923076925,4.355769230769231,1025.0587019230768,9.014423076923077,110.02387062776967
7,6.9772727272727275,2.215909090909091,1664.1904545454547,5.079545454545454,349.08725216450216
